approach	mismatches	extension	numprobes
sc	0	0	27640
sc	0	0	27548
sc	0	0	27487
sc	0	0	27293
sc	0	0	28074
sc	0	100	6852
sc	0	100	7061
sc	0	100	6886
sc	0	100	7001
sc	0	100	6831
sc	0	25	16381
sc	0	25	16123
sc	0	25	16646
sc	0	25	16957
sc	0	25	16157
sc	0	50	11044
sc	0	50	11438
sc	0	50	11558
sc	0	50	11770
sc	0	50	10982
sc	0	75	8476
sc	0	75	8497
sc	0	75	8638
sc	0	75	8683
sc	0	75	8359
sc	1	0	23806
sc	1	0	22907
sc	1	0	23827
sc	1	0	23740
sc	1	0	23605
sc	1	100	4866
sc	1	100	4540
sc	1	100	4549
sc	1	100	4604
sc	1	100	4541
sc	1	25	12361
sc	1	25	12569
sc	1	25	12163
sc	1	25	11928
sc	1	25	12546
sc	1	50	8269
sc	1	50	8267
sc	1	50	8510
sc	1	50	8228
sc	1	50	7898
sc	1	75	6155
sc	1	75	6247
sc	1	75	6345
sc	1	75	5945
sc	1	75	6053
sc	2	0	17972
sc	2	0	17082
sc	2	0	17686
sc	2	0	17995
sc	2	0	17688
sc	2	100	2770
sc	2	100	2943
sc	2	100	2772
sc	2	100	2981
sc	2	100	2977
sc	2	25	8771
sc	2	25	9333
sc	2	25	8921
sc	2	25	8965
sc	2	25	9153
sc	2	50	5356
sc	2	50	5604
sc	2	50	5631
sc	2	50	5608
sc	2	50	5933
sc	2	75	3779
sc	2	75	3969
sc	2	75	3978
sc	2	75	3917
sc	2	75	3882
sc	3	0	13573
sc	3	0	13282
sc	3	0	13037
sc	3	0	12750
sc	3	0	13388
sc	3	100	1834
sc	3	100	1746
sc	3	100	1833
sc	3	100	1798
sc	3	100	1736
sc	3	25	6736
sc	3	25	6205
sc	3	25	6160
sc	3	25	6716
sc	3	25	6602
sc	3	50	3576
sc	3	50	3417
sc	3	50	3717
sc	3	50	3769
sc	3	50	3704
sc	3	75	2580
sc	3	75	2533
sc	3	75	2673
sc	3	75	2625
sc	3	75	2558
sc	4	0	9669
sc	4	0	9614
sc	4	0	9843
sc	4	0	9762
sc	4	0	9861
sc	4	100	1160
sc	4	100	1196
sc	4	100	1296
sc	4	100	1291
sc	4	100	1226
sc	4	25	4350
sc	4	25	4541
sc	4	25	4793
sc	4	25	4553
sc	4	25	4548
sc	4	50	2489
sc	4	50	2399
sc	4	50	2437
sc	4	50	2512
sc	4	50	2502
sc	4	75	1739
sc	4	75	1709
sc	4	75	1658
sc	4	75	1745
sc	4	75	1831
sc	5	0	7611
sc	5	0	7557
sc	5	0	7657
sc	5	0	8119
sc	5	0	7843
sc	5	100	847
sc	5	100	836
sc	5	100	862
sc	5	100	843
sc	5	100	811
sc	5	25	3368
sc	5	25	3218
sc	5	25	3217
sc	5	25	3194
sc	5	25	3090
sc	5	50	1745
sc	5	50	1725
sc	5	50	1821
sc	5	50	1654
sc	5	50	1781
sc	5	75	1254
sc	5	75	1188
sc	5	75	1343
sc	5	75	1237
sc	5	75	1212
sc	6	0	5871
sc	6	0	5995
sc	6	0	6278
sc	6	0	6416
sc	6	0	5750
sc	6	100	631
sc	6	100	545
sc	6	100	576
sc	6	100	568
sc	6	100	639
sc	6	25	2492
sc	6	25	2431
sc	6	25	2479
sc	6	25	2629
sc	6	25	2562
sc	6	50	1218
sc	6	50	1241
sc	6	50	1243
sc	6	50	1335
sc	6	50	1422
sc	6	75	890
sc	6	75	1012
sc	6	75	946
sc	6	75	982
sc	6	75	999
sc	7	0	5226
sc	7	0	4652
sc	7	0	5061
sc	7	0	5048
sc	7	0	5185
sc	7	100	470
sc	7	100	495
sc	7	100	505
sc	7	100	560
sc	7	100	447
sc	7	25	1975
sc	7	25	1978
sc	7	25	2092
sc	7	25	2016
sc	7	25	2011
sc	7	50	1056
sc	7	50	984
sc	7	50	1097
sc	7	50	1035
sc	7	50	1026
sc	7	75	764
sc	7	75	772
sc	7	75	714
sc	7	75	781
sc	7	75	743
sc	8	0	4164
sc	8	0	4294
sc	8	0	4146
sc	8	0	4176
sc	8	0	4491
sc	8	100	407
sc	8	100	428
sc	8	100	399
sc	8	100	369
sc	8	100	442
sc	8	25	1546
sc	8	25	1767
sc	8	25	1714
sc	8	25	1737
sc	8	25	1547
sc	8	50	919
sc	8	50	860
sc	8	50	786
sc	8	50	970
sc	8	50	839
sc	8	75	699
sc	8	75	574
sc	8	75	632
sc	8	75	600
sc	8	75	557
sc	9	0	3681
sc	9	0	3588
sc	9	0	3688
sc	9	0	3783
sc	9	0	3542
sc	9	100	327
sc	9	100	312
sc	9	100	373
sc	9	100	341
sc	9	100	390
sc	9	25	1316
sc	9	25	1466
sc	9	25	1476
sc	9	25	1497
sc	9	25	1459
sc	9	50	753
sc	9	50	776
sc	9	50	698
sc	9	50	785
sc	9	50	771
sc	9	75	495
sc	9	75	534
sc	9	75	514
sc	9	75	527
sc	9	75	533
