dataset	mismatches	cover_extension	island_of_exact_match	num_probes
achimota_rubulavirus_1	0	0	25	252
achimota_rubulavirus_1	0	10	25	268
achimota_rubulavirus_1	0	20	25	208
achimota_rubulavirus_1	0	30	25	173
achimota_rubulavirus_1	0	40	25	143
achimota_rubulavirus_1	0	50	25	118
achimota_rubulavirus_1	1	0	25	250
achimota_rubulavirus_1	1	10	25	268
achimota_rubulavirus_1	1	20	25	207
achimota_rubulavirus_1	1	30	25	164
achimota_rubulavirus_1	1	40	25	143
achimota_rubulavirus_1	1	50	25	112
achimota_rubulavirus_1	2	0	25	246
achimota_rubulavirus_1	2	10	25	269
achimota_rubulavirus_1	2	20	25	204
achimota_rubulavirus_1	2	30	25	170
achimota_rubulavirus_1	2	40	25	150
achimota_rubulavirus_1	2	50	25	119
achimota_rubulavirus_1	3	0	25	250
achimota_rubulavirus_1	3	10	25	260
achimota_rubulavirus_1	3	20	25	206
achimota_rubulavirus_1	3	30	25	169
achimota_rubulavirus_1	3	40	25	148
achimota_rubulavirus_1	3	50	25	115
achimota_rubulavirus_1	4	0	25	245
achimota_rubulavirus_1	4	10	25	265
achimota_rubulavirus_1	4	20	25	215
achimota_rubulavirus_1	4	30	25	166
achimota_rubulavirus_1	4	40	25	143
achimota_rubulavirus_1	4	50	25	115
achimota_rubulavirus_1	5	0	25	244
achimota_rubulavirus_1	5	10	25	267
achimota_rubulavirus_1	5	20	25	210
achimota_rubulavirus_1	5	30	25	169
achimota_rubulavirus_1	5	40	25	145
achimota_rubulavirus_1	5	50	25	114
achimota_rubulavirus_1	6	0	25	251
achimota_rubulavirus_1	6	10	25	267
achimota_rubulavirus_1	6	20	25	207
achimota_rubulavirus_1	6	30	25	170
achimota_rubulavirus_1	6	40	25	141
achimota_rubulavirus_1	6	50	25	116
achimota_rubulavirus_1	7	0	25	248
achimota_rubulavirus_1	7	10	25	267
achimota_rubulavirus_1	7	20	25	210
achimota_rubulavirus_1	7	30	25	169
achimota_rubulavirus_1	7	40	25	141
achimota_rubulavirus_1	7	50	25	120
achimota_rubulavirus_1	8	0	25	249
achimota_rubulavirus_1	8	10	25	267
achimota_rubulavirus_1	8	20	25	213
achimota_rubulavirus_1	8	30	25	172
achimota_rubulavirus_1	8	40	25	147
achimota_rubulavirus_1	8	50	25	123
achimota_rubulavirus_2	0	0	25	249
achimota_rubulavirus_2	0	10	25	272
achimota_rubulavirus_2	0	20	25	209
achimota_rubulavirus_2	0	30	25	166
achimota_rubulavirus_2	0	40	25	142
achimota_rubulavirus_2	0	50	25	110
achimota_rubulavirus_2	1	0	25	247
achimota_rubulavirus_2	1	10	25	266
achimota_rubulavirus_2	1	20	25	205
achimota_rubulavirus_2	1	30	25	167
achimota_rubulavirus_2	1	40	25	140
achimota_rubulavirus_2	1	50	25	122
achimota_rubulavirus_2	2	0	25	253
achimota_rubulavirus_2	2	10	25	261
achimota_rubulavirus_2	2	20	25	206
achimota_rubulavirus_2	2	30	25	170
achimota_rubulavirus_2	2	40	25	145
achimota_rubulavirus_2	2	50	25	118
achimota_rubulavirus_2	3	0	25	245
achimota_rubulavirus_2	3	10	25	262
achimota_rubulavirus_2	3	20	25	201
achimota_rubulavirus_2	3	30	25	177
achimota_rubulavirus_2	3	40	25	147
achimota_rubulavirus_2	3	50	25	117
achimota_rubulavirus_2	4	0	25	249
achimota_rubulavirus_2	4	10	25	264
achimota_rubulavirus_2	4	20	25	207
achimota_rubulavirus_2	4	30	25	163
achimota_rubulavirus_2	4	40	25	142
achimota_rubulavirus_2	4	50	25	118
achimota_rubulavirus_2	5	0	25	252
achimota_rubulavirus_2	5	10	25	267
achimota_rubulavirus_2	5	20	25	208
achimota_rubulavirus_2	5	30	25	175
achimota_rubulavirus_2	5	40	25	145
achimota_rubulavirus_2	5	50	25	118
achimota_rubulavirus_2	6	0	25	251
achimota_rubulavirus_2	6	10	25	268
achimota_rubulavirus_2	6	20	25	205
achimota_rubulavirus_2	6	30	25	171
achimota_rubulavirus_2	6	40	25	136
achimota_rubulavirus_2	6	50	25	118
achimota_rubulavirus_2	7	0	25	250
achimota_rubulavirus_2	7	10	25	269
achimota_rubulavirus_2	7	20	25	209
achimota_rubulavirus_2	7	30	25	166
achimota_rubulavirus_2	7	40	25	147
achimota_rubulavirus_2	7	50	25	118
achimota_rubulavirus_2	8	0	25	255
achimota_rubulavirus_2	8	10	25	264
achimota_rubulavirus_2	8	20	25	207
achimota_rubulavirus_2	8	30	25	168
achimota_rubulavirus_2	8	40	25	144
achimota_rubulavirus_2	8	50	25	117
adeno-associated_dependoparvovirus_a	0	0	25	407
adeno-associated_dependoparvovirus_a	0	10	25	411
adeno-associated_dependoparvovirus_a	0	20	25	315
adeno-associated_dependoparvovirus_a	0	30	25	266
adeno-associated_dependoparvovirus_a	0	40	25	224
adeno-associated_dependoparvovirus_a	0	50	25	170
adeno-associated_dependoparvovirus_a	1	0	25	387
adeno-associated_dependoparvovirus_a	1	10	25	378
adeno-associated_dependoparvovirus_a	1	20	25	294
adeno-associated_dependoparvovirus_a	1	30	25	234
adeno-associated_dependoparvovirus_a	1	40	25	197
adeno-associated_dependoparvovirus_a	1	50	25	163
adeno-associated_dependoparvovirus_a	2	0	25	357
adeno-associated_dependoparvovirus_a	2	10	25	359
adeno-associated_dependoparvovirus_a	2	20	25	267
adeno-associated_dependoparvovirus_a	2	30	25	208
adeno-associated_dependoparvovirus_a	2	40	25	180
adeno-associated_dependoparvovirus_a	2	50	25	149
adeno-associated_dependoparvovirus_a	3	0	25	338
adeno-associated_dependoparvovirus_a	3	10	25	319
adeno-associated_dependoparvovirus_a	3	20	25	249
adeno-associated_dependoparvovirus_a	3	30	25	200
adeno-associated_dependoparvovirus_a	3	40	25	170
adeno-associated_dependoparvovirus_a	3	50	25	135
adeno-associated_dependoparvovirus_a	4	0	25	321
adeno-associated_dependoparvovirus_a	4	10	25	300
adeno-associated_dependoparvovirus_a	4	20	25	230
adeno-associated_dependoparvovirus_a	4	30	25	187
adeno-associated_dependoparvovirus_a	4	40	25	163
adeno-associated_dependoparvovirus_a	4	50	25	131
adeno-associated_dependoparvovirus_a	5	0	25	308
adeno-associated_dependoparvovirus_a	5	10	25	267
adeno-associated_dependoparvovirus_a	5	20	25	209
adeno-associated_dependoparvovirus_a	5	30	25	174
adeno-associated_dependoparvovirus_a	5	40	25	152
adeno-associated_dependoparvovirus_a	5	50	25	117
adeno-associated_dependoparvovirus_a	6	0	25	290
adeno-associated_dependoparvovirus_a	6	10	25	247
adeno-associated_dependoparvovirus_a	6	20	25	200
adeno-associated_dependoparvovirus_a	6	30	25	161
adeno-associated_dependoparvovirus_a	6	40	25	143
adeno-associated_dependoparvovirus_a	6	50	25	115
adeno-associated_dependoparvovirus_a	7	0	25	280
adeno-associated_dependoparvovirus_a	7	10	25	248
adeno-associated_dependoparvovirus_a	7	20	25	191
adeno-associated_dependoparvovirus_a	7	30	25	155
adeno-associated_dependoparvovirus_a	7	40	25	136
adeno-associated_dependoparvovirus_a	7	50	25	109
adeno-associated_dependoparvovirus_a	8	0	25	262
adeno-associated_dependoparvovirus_a	8	10	25	238
adeno-associated_dependoparvovirus_a	8	20	25	185
adeno-associated_dependoparvovirus_a	8	30	25	153
adeno-associated_dependoparvovirus_a	8	40	25	132
adeno-associated_dependoparvovirus_a	8	50	25	104
adeno-associated_dependoparvovirus_b	0	0	25	134
adeno-associated_dependoparvovirus_b	0	10	25	106
adeno-associated_dependoparvovirus_b	0	20	25	85
adeno-associated_dependoparvovirus_b	0	30	25	70
adeno-associated_dependoparvovirus_b	0	40	25	60
adeno-associated_dependoparvovirus_b	0	50	25	51
adeno-associated_dependoparvovirus_b	1	0	25	105
adeno-associated_dependoparvovirus_b	1	10	25	100
adeno-associated_dependoparvovirus_b	1	20	25	79
adeno-associated_dependoparvovirus_b	1	30	25	70
adeno-associated_dependoparvovirus_b	1	40	25	55
adeno-associated_dependoparvovirus_b	1	50	25	47
adeno-associated_dependoparvovirus_b	2	0	25	107
adeno-associated_dependoparvovirus_b	2	10	25	88
adeno-associated_dependoparvovirus_b	2	20	25	74
adeno-associated_dependoparvovirus_b	2	30	25	64
adeno-associated_dependoparvovirus_b	2	40	25	52
adeno-associated_dependoparvovirus_b	2	50	25	44
adeno-associated_dependoparvovirus_b	3	0	25	104
adeno-associated_dependoparvovirus_b	3	10	25	86
adeno-associated_dependoparvovirus_b	3	20	25	72
adeno-associated_dependoparvovirus_b	3	30	25	57
adeno-associated_dependoparvovirus_b	3	40	25	48
adeno-associated_dependoparvovirus_b	3	50	25	41
adeno-associated_dependoparvovirus_b	4	0	25	95
adeno-associated_dependoparvovirus_b	4	10	25	77
adeno-associated_dependoparvovirus_b	4	20	25	68
adeno-associated_dependoparvovirus_b	4	30	25	53
adeno-associated_dependoparvovirus_b	4	40	25	49
adeno-associated_dependoparvovirus_b	4	50	25	40
adeno-associated_dependoparvovirus_b	5	0	25	98
adeno-associated_dependoparvovirus_b	5	10	25	81
adeno-associated_dependoparvovirus_b	5	20	25	66
adeno-associated_dependoparvovirus_b	5	30	25	58
adeno-associated_dependoparvovirus_b	5	40	25	51
adeno-associated_dependoparvovirus_b	5	50	25	41
adeno-associated_dependoparvovirus_b	6	0	25	94
adeno-associated_dependoparvovirus_b	6	10	25	80
adeno-associated_dependoparvovirus_b	6	20	25	64
adeno-associated_dependoparvovirus_b	6	30	25	53
adeno-associated_dependoparvovirus_b	6	40	25	49
adeno-associated_dependoparvovirus_b	6	50	25	42
adeno-associated_dependoparvovirus_b	7	0	25	89
adeno-associated_dependoparvovirus_b	7	10	25	80
adeno-associated_dependoparvovirus_b	7	20	25	65
adeno-associated_dependoparvovirus_b	7	30	25	53
adeno-associated_dependoparvovirus_b	7	40	25	49
adeno-associated_dependoparvovirus_b	7	50	25	38
adeno-associated_dependoparvovirus_b	8	0	25	89
adeno-associated_dependoparvovirus_b	8	10	25	80
adeno-associated_dependoparvovirus_b	8	20	25	68
adeno-associated_dependoparvovirus_b	8	30	25	50
adeno-associated_dependoparvovirus_b	8	40	25	48
adeno-associated_dependoparvovirus_b	8	50	25	38
aedes_flavivirus	0	0	25	487
aedes_flavivirus	0	10	25	491
aedes_flavivirus	0	20	25	375
aedes_flavivirus	0	30	25	288
aedes_flavivirus	0	40	25	237
aedes_flavivirus	0	50	25	197
aedes_flavivirus	1	0	25	414
aedes_flavivirus	1	10	25	423
aedes_flavivirus	1	20	25	310
aedes_flavivirus	1	30	25	241
aedes_flavivirus	1	40	25	207
aedes_flavivirus	1	50	25	169
aedes_flavivirus	2	0	25	381
aedes_flavivirus	2	10	25	376
aedes_flavivirus	2	20	25	282
aedes_flavivirus	2	30	25	221
aedes_flavivirus	2	40	25	191
aedes_flavivirus	2	50	25	163
aedes_flavivirus	3	0	25	352
aedes_flavivirus	3	10	25	341
aedes_flavivirus	3	20	25	255
aedes_flavivirus	3	30	25	205
aedes_flavivirus	3	40	25	172
aedes_flavivirus	3	50	25	140
aedes_flavivirus	4	0	25	324
aedes_flavivirus	4	10	25	310
aedes_flavivirus	4	20	25	234
aedes_flavivirus	4	30	25	178
aedes_flavivirus	4	40	25	150
aedes_flavivirus	4	50	25	126
aedes_flavivirus	5	0	25	307
aedes_flavivirus	5	10	25	296
aedes_flavivirus	5	20	25	230
aedes_flavivirus	5	30	25	164
aedes_flavivirus	5	40	25	134
aedes_flavivirus	5	50	25	119
aedes_flavivirus	6	0	25	296
aedes_flavivirus	6	10	25	281
aedes_flavivirus	6	20	25	202
aedes_flavivirus	6	30	25	155
aedes_flavivirus	6	40	25	130
aedes_flavivirus	6	50	25	105
aedes_flavivirus	7	0	25	286
aedes_flavivirus	7	10	25	273
aedes_flavivirus	7	20	25	200
aedes_flavivirus	7	30	25	148
aedes_flavivirus	7	40	25	126
aedes_flavivirus	7	50	25	109
aedes_flavivirus	8	0	25	280
aedes_flavivirus	8	10	25	273
aedes_flavivirus	8	20	25	196
aedes_flavivirus	8	30	25	140
aedes_flavivirus	8	40	25	117
aedes_flavivirus	8	50	25	100
african_green_monkey_simian_foamy	0	0	25	374
african_green_monkey_simian_foamy	0	10	25	382
african_green_monkey_simian_foamy	0	20	25	302
african_green_monkey_simian_foamy	0	30	25	242
african_green_monkey_simian_foamy	0	40	25	210
african_green_monkey_simian_foamy	0	50	25	169
african_green_monkey_simian_foamy	1	0	25	365
african_green_monkey_simian_foamy	1	10	25	384
african_green_monkey_simian_foamy	1	20	25	300
african_green_monkey_simian_foamy	1	30	25	252
african_green_monkey_simian_foamy	1	40	25	209
african_green_monkey_simian_foamy	1	50	25	171
african_green_monkey_simian_foamy	2	0	25	364
african_green_monkey_simian_foamy	2	10	25	374
african_green_monkey_simian_foamy	2	20	25	296
african_green_monkey_simian_foamy	2	30	25	238
african_green_monkey_simian_foamy	2	40	25	198
african_green_monkey_simian_foamy	2	50	25	163
african_green_monkey_simian_foamy	3	0	25	360
african_green_monkey_simian_foamy	3	10	25	363
african_green_monkey_simian_foamy	3	20	25	291
african_green_monkey_simian_foamy	3	30	25	235
african_green_monkey_simian_foamy	3	40	25	198
african_green_monkey_simian_foamy	3	50	25	165
african_green_monkey_simian_foamy	4	0	25	351
african_green_monkey_simian_foamy	4	10	25	365
african_green_monkey_simian_foamy	4	20	25	277
african_green_monkey_simian_foamy	4	30	25	230
african_green_monkey_simian_foamy	4	40	25	195
african_green_monkey_simian_foamy	4	50	25	154
african_green_monkey_simian_foamy	5	0	25	349
african_green_monkey_simian_foamy	5	10	25	351
african_green_monkey_simian_foamy	5	20	25	266
african_green_monkey_simian_foamy	5	30	25	209
african_green_monkey_simian_foamy	5	40	25	181
african_green_monkey_simian_foamy	5	50	25	150
african_green_monkey_simian_foamy	6	0	25	345
african_green_monkey_simian_foamy	6	10	25	348
african_green_monkey_simian_foamy	6	20	25	269
african_green_monkey_simian_foamy	6	30	25	217
african_green_monkey_simian_foamy	6	40	25	178
african_green_monkey_simian_foamy	6	50	25	148
african_green_monkey_simian_foamy	7	0	25	342
african_green_monkey_simian_foamy	7	10	25	338
