Genome	Num bases covered	Frac bases covered	Frac bases covered over unambig	Average coverage/depth	Average coverage/depth over unambig
dengue, genome 0	10176	1.0	1.0	1.00235849057	1.00235849057
dengue, genome 0 (rc)	10176	1.0	1.0	1.00235849057	1.00235849057
dengue, genome 1	10737	1.0	1.0	2.26320201174	2.26320201174
dengue, genome 1 (rc)	10737	1.0	1.0	2.26320201174	2.26320201174
dengue, genome 2	10735	1.0	1.0	2.28225430834	2.28225430834
dengue, genome 2 (rc)	10735	1.0	1.0	2.28225430834	2.28225430834
dengue, genome 3	10736	1.0	1.0	2.02123695976	2.02123695976
dengue, genome 3 (rc)	10736	1.0	1.0	2.02123695976	2.02123695976
dengue, genome 4	10736	1.0	1.0	2.01192250373	2.01192250373
dengue, genome 4 (rc)	10736	1.0	1.0	2.01192250373	2.01192250373
dengue, genome 5	10737	1.0	1.0	2.28182918879	2.28182918879
dengue, genome 5 (rc)	10737	1.0	1.0	2.28182918879	2.28182918879
dengue, genome 6	10736	1.0	1.0	2.06780923994	2.06780923994
dengue, genome 6 (rc)	10736	1.0	1.0	2.06780923994	2.06780923994
dengue, genome 7	10602	1.0	1.0	1.66006413884	1.66006413884
dengue, genome 7 (rc)	10602	1.0	1.0	1.66006413884	1.66006413884
dengue, genome 8	10583	1.0	1.0	1.75753567041	1.75753567041
dengue, genome 8 (rc)	10583	1.0	1.0	1.75753567041	1.75753567041
dengue, genome 9	10583	1.0	1.0	1.76698478692	1.76698478692
dengue, genome 9 (rc)	10583	1.0	1.0	1.76698478692	1.76698478692
dengue, genome 10	10583	1.0	1.0	1.77643390343	1.77643390343
dengue, genome 10 (rc)	10583	1.0	1.0	1.77643390343	1.77643390343
dengue, genome 11	10733	1.0	1.0	1.84477778813	1.84477778813
dengue, genome 11 (rc)	10733	1.0	1.0	1.84477778813	1.84477778813
dengue, genome 12	10605	1.0	1.0	2.10278170674	2.10278170674
dengue, genome 12 (rc)	10605	1.0	1.0	2.10278170674	2.10278170674
